fold,n_train,n_test,cnn_time,cnn_acc,cnn_f1,fair_time,fair_acc,fair_f1,qnn_time,qnn_acc,qnn_f1,majority_baseline,random_baseline,class_a,class_b,repeat
0,200,336,1.945742130279541,0.9642857142857143,0.9642844488537717,0.32343006134033203,0.5386904761904762,0.45893719806763283,26.754714250564575,0.5059523809523809,0.4956597222222222,0.5148809523809523,0.5,ceratium,cyclops,0
1,200,336,1.9809696674346924,0.9523809523809523,0.9522981366459627,0.5571770668029785,0.5148809523809523,0.3398821218074656,105.71008515357971,0.5089285714285714,0.3478184149540626,0.5148809523809523,0.5,ceratium,cyclops,0
2,200,336,1.9699749946594238,0.9464285714285714,0.9463068181818182,0.580000638961792,0.625,0.606951871657754,105.96928834915161,0.49107142857142855,0.33939637826961766,0.5148809523809523,0.5,ceratium,cyclops,0
3,200,336,1.973386287689209,0.9761904761904762,0.9761219486195502,0.31499385833740234,0.4851190476190476,0.32665330661322645,21.3662269115448,0.4851190476190476,0.32665330661322645,0.5148809523809523,0.5,ceratium,cyclops,0
4,200,336,1.9899888038635254,0.9613095238095238,0.9612515191569012,0.340106725692749,0.5178571428571429,0.34117647058823536,21.571046352386475,0.4851190476190476,0.3316700201207244,0.5178571428571429,0.5,ceratium,cyclops,0
0,200,197,1.9486923217773438,0.8883248730964467,0.8627786220871327,0.6272530555725098,0.7309644670050761,0.4222873900293255,105.9811007976532,0.7309644670050761,0.45645270446145036,0.7309644670050761,0.5,conochilus,daphnia,0
1,200,197,1.9872970581054688,0.8527918781725888,0.7824861983628404,0.6127843856811523,0.7309644670050761,0.4222873900293255,105.5241265296936,0.7309644670050761,0.4222873900293255,0.7309644670050761,0.5,conochilus,daphnia,0
2,200,197,1.9839434623718262,0.8477157360406091,0.8015713134568896,0.5896828174591064,0.700507614213198,0.42780485403436225,106.05097103118896,0.7309644670050761,0.4222873900293255,0.7309644670050761,0.5,conochilus,daphnia,0
3,200,197,1.9990134239196777,0.8781725888324873,0.8412570507655117,0.6240739822387695,0.6040609137055838,0.429367201426025,105.75968861579895,0.7309644670050761,0.4222873900293255,0.7309644670050761,0.5,conochilus,daphnia,0
4,200,197,1.5556199550628662,0.8477157360406091,0.7934144295302012,0.6068410873413086,0.7360406091370558,0.42397660818713445,106.5611777305603,0.7411167512690355,0.44408786587727545,0.7360406091370558,0.5,conochilus,daphnia,0
0,200,114,1.9655728340148926,1.0,1.0,0.5920369625091553,0.5526315789473685,0.3889647924330005,105.57731580734253,0.7807017543859649,0.7793263646922183,0.5350877192982456,0.5,conochilus,fragilaria,0
1,200,114,1.6522951126098633,0.956140350877193,0.9561099561099562,0.5973443984985352,0.543859649122807,0.3690932311621966,105.72891521453857,0.5526315789473685,0.42927260233631104,0.5350877192982456,0.5,conochilus,fragilaria,0
2,200,114,1.4602856636047363,0.9473684210526315,0.9473035439137134,0.6230425834655762,0.5614035087719298,0.4345238095238094,105.81200337409973,0.6842105263157895,0.6668831168831169,0.5350877192982456,0.5,conochilus,fragilaria,0
3,200,114,1.98209810256958,0.9736842105263158,0.973633490093285,0.5871901512145996,0.47368421052631576,0.44480519480519487,105.76762366294861,0.6929824561403509,0.6842105263157894,0.5350877192982456,0.5,conochilus,fragilaria,0
4,200,114,1.6440203189849854,0.956140350877193,0.9555624853823965,0.3385026454925537,0.543859649122807,0.3522727272727273,105.31541657447815,0.543859649122807,0.3522727272727273,0.543859649122807,0.5,conochilus,fragilaria,0
0,200,76,2.1346170902252197,0.9736842105263158,0.968013468013468,0.49695825576782227,0.6973684210526315,0.4108527131782946,106.02840328216553,0.6973684210526315,0.4108527131782946,0.6973684210526315,0.5,conochilus,keratella_cochlearis,0
1,200,75,1.9150006771087646,0.9866666666666667,0.9841269841269842,0.5882971286773682,0.7066666666666667,0.4140625,106.1951551437378,0.7066666666666667,0.4140625,0.7066666666666667,0.5,conochilus,keratella_cochlearis,0
